FSUNEMP,FSNK5T17,LIQRESOR,FSSLTDE2,FSSLTDED,FSOTHUN,FSGRINC,FSUSIZE,FSTOTDE2,FSSTDDE2,FSNONCIT,RAWERND,FSTOTDED,REALPROP,FSERNDED,FSERNDE2,FSNELDER,FSNDISCA,FSWAGES,FSWCOMP,FSSLTEXP,CERTHHSZ,CAT_ELIG,FSVEHAST,VEHICLEA
0.0,1.0,194.0,175.0,175.0,0.0,626.0,4.0,439.0,209.0,0.0,125.0,439.0,0.0,125.0,188.0,0.0,0.0,626.0,0.0,356.0,4.0,0.0,0.0,1.0
0.0,2.0,0.0,61.0,61.0,0.0,1243.0,4.0,462.0,200.0,0.0,215.0,462.0,0.0,215.0,276.0,0.0,0.0,1075.0,0.0,482.0,4.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,1546.0,3.0,304.0,134.0,0.0,171.0,304.0,0.0,170.0,170.0,0.0,0.0,854.0,0.0,81.0,3.0,0.0,0.0,1.0
0.0,0.0,0.0,130.0,130.0,87.0,657.0,1.0,264.0,201.0,0.0,0.0,264.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,392.0,1.0,0.0,0.0,1.0
0.0,4.0,0.0,261.0,417.0,0.0,602.0,6.0,602.0,30.0,0.0,120.0,758.0,0.0,120.0,0.0,0.0,0.0,602.0,0.0,679.0,6.0,0.0,0.0,1.0
0.0,1.0,0.0,13.0,417.0,0.0,147.0,2.0,147.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,924.0,2.0,134.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,282.0,2.0,1.0,0.0,1.0
0.0,2.0,267.0,92.0,92.0,0.0,414.0,3.0,226.0,201.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,3.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,389.0,3.0,134.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,40.0,40.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,173.0,173.0,0.0,1244.0,2.0,509.0,201.0,0.0,203.0,509.0,0.0,202.0,303.0,1.0,1.0,1013.0,0.0,627.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,413.0,413.0,0.0,603.0,1.0,547.0,201.0,0.0,0.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,881.0,1.0,134.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,198.0,198.0,0.0,923.0,1.0,386.0,201.0,0.0,0.0,386.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,566.0,1.0,0.0,0.0,1.0
0.0,1.0,0.0,129.0,129.0,0.0,940.0,2.0,263.0,201.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,2.0,1.0,0.0,1.0
0.0,0.0,0.0,119.0,119.0,0.0,623.0,2.0,253.0,201.0,0.0,0.0,253.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,364.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,231.0,1.0,134.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.0,2.0,210.0,0.0,0.0,0.0,1625.0,3.0,459.0,134.0,0.0,325.0,459.0,0.0,325.0,325.0,0.0,0.0,1625.0,0.0,232.0,3.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,231.0,1.0,134.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.0,6.0,0.0,250.0,250.0,0.0,1150.0,7.0,436.0,279.0,1.0,0.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0,7.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,100.0,100.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
0.0,0.0,2.0,337.0,337.0,0.0,623.0,1.0,471.0,201.0,0.0,0.0,471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,1.0,1.0,0.0,1.0
0.0,2.0,0.0,417.0,417.0,0.0,1557.0,5.0,910.0,162.0,0.0,246.0,910.0,0.0,246.0,274.0,0.0,0.0,1231.0,0.0,1044.0,5.0,1.0,0.0,1.0
0.0,0.0,0.0,97.0,417.0,0.0,231.0,1.0,231.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,632.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,231.0,1.0,134.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,1296.0,4.0,398.0,139.0,0.0,260.0,398.0,0.0,259.0,259.0,0.0,0.0,1296.0,0.0,400.0,4.0,0.0,0.0,1.0
0.0,0.0,0.0,349.0,349.0,0.0,750.0,1.0,483.0,201.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,657.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,64.0,64.0,0.0,603.0,1.0,198.0,198.0,0.0,0.0,198.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,299.0,1.0,1.0,0.0,1.0
0.0,0.0,948.0,165.0,165.0,0.0,603.0,1.0,299.0,201.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,2.0,0.0,104.0,104.0,0.0,389.0,2.0,238.0,201.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,2.0,1.0,0.0,1.0
0.0,0.0,403.0,85.0,85.0,0.0,1290.0,4.0,482.0,208.0,0.0,258.0,482.0,0.0,258.0,343.0,0.0,0.0,1290.0,0.0,532.0,4.0,0.0,0.0,1.0
0.0,2.0,0.0,417.0,417.0,0.0,1268.0,3.0,773.0,142.0,0.0,223.0,773.0,0.0,222.0,274.0,0.0,0.0,1113.0,0.0,932.0,3.0,0.0,0.0,1.0
0.0,1.0,0.0,387.0,417.0,0.0,812.0,1.0,812.0,170.0,0.0,162.0,842.0,0.0,162.0,212.0,0.0,0.0,812.0,0.0,612.0,1.0,0.0,0.0,1.0
